word_shown	valid	dummy	response	correct	response_time
platery	false	true	no	yes	3136
denial	true	true	yes	yes	967
generic	true	true	yes	yes	1047
mensible	false	false	no	yes	2119
scornful	true	false	yes	yes	1879
stoutly	true	false	yes	yes	1079
ablaze	true	false	yes	yes	967
kermshaw	false	false	no	yes	1576
moonlit	true	false	no	no	2032
lofty	true	false	yes	yes	1183
hurricane	true	false	yes	yes	864
flaw	true	false	yes	yes	1120
alberation	false	false	yes	no	2479
unkempt	true	false	no	no	976
breeding	true	false	yes	yes	1296
festivity	true	false	yes	yes	968
screech	true	false	yes	yes	1296
savoury	true	false	yes	yes	992
plaudate	false	false	no	yes	2840
shin	true	false	yes	yes	1552
fluid	true	false	yes	yes	952
spaunch	false	false	no	yes	1968
allied	true	false	yes	yes	1288
slain	true	false	no	no	2968
recipient	true	false	yes	yes	1344
exprate	false	false	no	yes	3832
eloquence	true	false	no	no	5567
cleanliness	true	false	yes	yes	959
dispatch	true	false	yes	yes	912
rebondicate	false	false	no	yes	4263
ingenious	true	false	yes	yes	823
bewitch	true	false	yes	yes	2247
skave	false	false	no	yes	2376
plaintively	true	false	yes	yes	1792
kilp	false	false	no	yes	1016
interfate	false	false	yes	no	1232
hasty	true	false	yes	yes	1320
lengthy	true	false	yes	yes	880
fray	true	false	yes	yes	1208
crumper	false	false	no	yes	1760
upkeep	true	false	yes	yes	1200
majestic	true	false	yes	yes	1032
magrity	false	false	no	yes	1152
nourishment	true	false	yes	yes	888
abergy	false	false	no	yes	2920
proom	false	false	no	yes	1488
turmoil	true	false	no	no	1224
carbohydrate	true	false	yes	yes	1168
scholar	true	false	yes	yes	920
turtle	true	false	yes	yes	736
fellick	false	false	no	yes	3576
destription	false	false	yes	no	1048
cylinder	true	false	yes	yes	1135
censorship	true	false	yes	yes	1967
celestial	true	false	yes	yes	1103
rascal	true	false	yes	yes	1135
purrage	false	false	yes	no	1687
pulsh	false	false	no	yes	4904
muddy	true	false	yes	yes	1087
quirty	false	false	no	yes	4007
pudour	false	false	no	yes	3823
listless	true	false	no	no	6288
wrought	true	false	yes	yes	3256
