word_shown	valid	dummy	response	correct	response_time
platery	false	true	no	yes	7036
denial	true	true	yes	yes	2064
generic	true	true	yes	yes	2511
mensible	false	false	no	yes	9679
scornful	true	false	yes	yes	1527
stoutly	true	false	yes	yes	2247
ablaze	true	false	yes	yes	2104
kermshaw	false	false	no	yes	2376
moonlit	true	false	yes	yes	1536
lofty	true	false	yes	yes	1488
hurricane	true	false	yes	yes	1352
flaw	true	false	yes	yes	1664
alberation	false	false	yes	no	2808
unkempt	true	false	yes	yes	1168
breeding	true	false	yes	yes	1264
festivity	true	false	yes	yes	1584
screech	true	false	yes	yes	1008
savoury	true	false	yes	yes	1184
plaudate	false	false	no	yes	4512
shin	true	false	yes	yes	1967
fluid	true	false	yes	yes	1079
spaunch	false	false	no	yes	7847
allied	true	false	yes	yes	1567
slain	true	false	yes	yes	912
recipient	true	false	yes	yes	1120
exprate	false	false	no	yes	4184
eloquence	true	false	yes	yes	1176
cleanliness	true	false	yes	yes	1032
dispatch	true	false	yes	yes	1936
rebondicate	false	false	yes	no	4040
ingenious	true	false	yes	yes	1544
bewitch	true	false	yes	yes	1064
skave	false	false	yes	no	2320
plaintively	true	false	no	no	2440
kilp	false	false	yes	no	2560
interfate	false	false	yes	no	2127
hasty	true	false	yes	yes	920
lengthy	true	false	yes	yes	783
fray	true	false	yes	yes	1664
crumper	false	false	yes	no	1975
upkeep	true	false	yes	yes	879
majestic	true	false	yes	yes	1583
magrity	false	false	no	yes	2247
nourishment	true	false	yes	yes	1455
abergy	false	false	no	yes	2376
proom	false	false	no	yes	1247
turmoil	true	false	yes	yes	1224
carbohydrate	true	false	yes	yes	2352
scholar	true	false	yes	yes	1232
turtle	true	false	yes	yes	760
fellick	false	false	no	yes	2296
destription	false	false	no	yes	3944
cylinder	true	false	yes	yes	1447
censorship	true	false	yes	yes	1200
celestial	true	false	yes	yes	1144
rascal	true	false	yes	yes	1032
purrage	false	false	yes	no	1584
pulsh	false	false	yes	no	1360
muddy	true	false	yes	yes	920
quirty	false	false	no	yes	2960
pudour	false	false	no	yes	1864
listless	true	false	yes	yes	1111
wrought	true	false	yes	yes	1160
