word_shown	valid	dummy	response	correct	response_time
platery	false	true	no	yes	13176
denial	true	true	yes	yes	2263
generic	true	true	yes	yes	3159
mensible	false	false	no	yes	8408
scornful	true	false	yes	yes	1720
stoutly	true	false	yes	yes	1304
ablaze	true	false	yes	yes	6456
kermshaw	false	false	no	yes	3840
moonlit	true	false	yes	yes	1360
lofty	true	false	yes	yes	1144
hurricane	true	false	yes	yes	832
flaw	true	false	yes	yes	1007
alberation	false	false	yes	no	2048
unkempt	true	false	no	no	2544
breeding	true	false	yes	yes	1343
festivity	true	false	yes	yes	1751
screech	true	false	yes	yes	1127
savoury	true	false	yes	yes	1775
plaudate	false	false	no	yes	2167
shin	true	false	no	no	1991
fluid	true	false	yes	yes	1263
spaunch	false	false	no	yes	2887
allied	true	false	yes	yes	1023
slain	true	false	yes	yes	1584
recipient	true	false	yes	yes	840
exprate	false	false	no	yes	3784
eloquence	true	false	yes	yes	3120
cleanliness	true	false	yes	yes	2984
dispatch	true	false	yes	yes	904
rebondicate	false	false	yes	no	2904
ingenious	true	false	yes	yes	1336
bewitch	true	false	yes	yes	1008
skave	false	false	no	yes	1792
plaintively	true	false	no	no	3056
kilp	false	false	no	yes	2112
interfate	false	false	no	yes	2432
hasty	true	false	yes	yes	1239
lengthy	true	false	yes	yes	1223
fray	true	false	yes	yes	1295
crumper	false	false	yes	no	1743
upkeep	true	false	yes	yes	6447
majestic	true	false	yes	yes	1087
magrity	false	false	no	yes	1520
nourishment	true	false	yes	yes	1479
abergy	false	false	no	yes	1288
proom	false	false	no	yes	1784
turmoil	true	false	yes	yes	2520
carbohydrate	true	false	yes	yes	3112
scholar	true	false	yes	yes	912
turtle	true	false	yes	yes	736
fellick	false	false	no	yes	1728
destription	false	false	no	yes	3008
cylinder	true	false	yes	yes	1408
censorship	true	false	yes	yes	1032
celestial	true	false	yes	yes	2456
rascal	true	false	yes	yes	1944
purrage	false	false	no	yes	2519
pulsh	false	false	no	yes	1752
muddy	true	false	yes	yes	1111
quirty	false	false	no	yes	3511
pudour	false	false	no	yes	1175
listless	true	false	no	no	3335
wrought	true	false	yes	yes	1471
