word_shown	valid	dummy	response	correct	response_time
platery	false	true	no	yes	11439
denial	true	true	yes	yes	1839
generic	true	true	yes	yes	1568
mensible	false	false	no	yes	4504
scornful	true	false	no	no	5591
stoutly	true	false	yes	yes	4080
ablaze	true	false	yes	yes	2336
kermshaw	false	false	yes	no	6999
moonlit	true	false	yes	yes	2832
lofty	true	false	no	no	3255
hurricane	true	false	yes	yes	951
flaw	true	false	yes	yes	1112
alberation	false	false	yes	no	2207
unkempt	true	false	no	no	5240
breeding	true	false	yes	yes	1432
festivity	true	false	yes	yes	1752
screech	true	false	yes	yes	1744
savoury	true	false	yes	yes	3952
plaudate	false	false	yes	no	5216
shin	true	false	yes	yes	2920
fluid	true	false	yes	yes	1432
spaunch	false	false	yes	no	1992
allied	true	false	no	no	5255
slain	true	false	no	no	4335
recipient	true	false	yes	yes	5184
exprate	false	false	yes	no	4064
eloquence	true	false	no	no	6224
cleanliness	true	false	no	no	8240
dispatch	true	false	yes	yes	1175
rebondicate	false	false	yes	no	3271
ingenious	true	false	yes	yes	3920
bewitch	true	false	no	no	3791
skave	false	false	no	yes	2311
plaintively	true	false	yes	yes	3712
kilp	false	false	no	yes	1928
interfate	false	false	yes	no	5775
hasty	true	false	yes	yes	3624
lengthy	true	false	yes	yes	4736
fray	true	false	yes	yes	2392
crumper	false	false	no	yes	4456
upkeep	true	false	no	no	1968
majestic	true	false	yes	yes	1343
magrity	false	false	no	yes	4160
nourishment	true	false	yes	yes	2551
abergy	false	false	no	yes	3535
proom	false	false	no	yes	1799
turmoil	true	false	no	no	4248
carbohydrate	true	false	yes	yes	1904
scholar	true	false	yes	yes	1288
turtle	true	false	yes	yes	904
fellick	false	false	no	yes	2472
destription	false	false	yes	no	3040
cylinder	true	false	yes	yes	6040
censorship	true	false	yes	yes	1840
celestial	true	false	no	no	2592
rascal	true	false	yes	yes	2024
purrage	false	false	yes	no	2544
pulsh	false	false	no	yes	2391
muddy	true	false	yes	yes	3735
quirty	false	false	no	yes	2128
pudour	false	false	yes	no	2415
listless	true	false	no	no	2519
wrought	true	false	yes	yes	3903
