word_shown	valid	dummy	response	correct	response_time
platery	false	true	no	yes	7622
denial	true	true	yes	yes	1384
generic	true	true	yes	yes	1007
mensible	false	false	no	yes	2063
scornful	true	false	yes	yes	1631
stoutly	true	false	yes	yes	1591
ablaze	true	false	yes	yes	2712
kermshaw	false	false	no	yes	1176
moonlit	true	false	yes	yes	1112
lofty	true	false	no	no	3888
hurricane	true	false	yes	yes	960
flaw	true	false	yes	yes	928
alberation	false	false	no	yes	7327
unkempt	true	false	no	no	2255
breeding	true	false	yes	yes	983
festivity	true	false	yes	yes	743
screech	true	false	yes	yes	1111
savoury	true	false	yes	yes	1175
plaudate	false	false	no	yes	2984
shin	true	false	yes	yes	2536
fluid	true	false	yes	yes	792
spaunch	false	false	no	yes	2440
allied	true	false	yes	yes	1040
slain	true	false	yes	yes	1352
recipient	true	false	yes	yes	800
exprate	false	false	no	yes	1864
eloquence	true	false	yes	yes	2680
cleanliness	true	false	yes	yes	759
dispatch	true	false	yes	yes	687
rebondicate	false	false	no	yes	2087
ingenious	true	false	yes	yes	1143
bewitch	true	false	yes	yes	711
skave	false	false	no	yes	1727
plaintively	true	false	no	no	4568
kilp	false	false	no	yes	936
interfate	false	false	yes	no	944
hasty	true	false	yes	yes	832
lengthy	true	false	yes	yes	680
fray	true	false	yes	yes	1136
crumper	false	false	no	yes	7439
upkeep	true	false	yes	yes	1271
majestic	true	false	yes	yes	727
magrity	false	false	no	yes	4383
nourishment	true	false	yes	yes	1215
abergy	false	false	no	yes	1928
proom	false	false	no	yes	1048
turmoil	true	false	yes	yes	1008
carbohydrate	true	false	yes	yes	1312
scholar	true	false	yes	yes	760
turtle	true	false	yes	yes	784
fellick	false	false	no	yes	1176
destription	false	false	no	yes	2304
cylinder	true	false	yes	yes	1215
censorship	true	false	yes	yes	7935
celestial	true	false	yes	yes	711
rascal	true	false	yes	yes	751
purrage	false	false	no	yes	2151
pulsh	false	false	no	yes	1056
muddy	true	false	yes	yes	1120
quirty	false	false	yes	no	1376
pudour	false	false	no	yes	1192
listless	true	false	yes	yes	1080
wrought	true	false	yes	yes	1048
