word_shown	valid	dummy	response	correct	response_time
platery	false	true	yes	no	10511
denial	true	true	yes	yes	1415
generic	true	true	yes	yes	1160
mensible	false	false	no	yes	4256
scornful	true	false	yes	yes	1424
stoutly	true	false	no	no	8744
ablaze	true	false	yes	yes	1368
kermshaw	false	false	no	yes	6607
moonlit	true	false	yes	yes	1807
lofty	true	false	yes	yes	1367
hurricane	true	false	yes	yes	1087
flaw	true	false	yes	yes	1023
alberation	false	false	no	yes	13615
unkempt	true	false	no	no	3048
breeding	true	false	yes	yes	1168
festivity	true	false	yes	yes	992
screech	true	false	yes	yes	952
savoury	true	false	yes	yes	1352
plaudate	false	false	no	yes	9591
shin	true	false	yes	yes	1240
fluid	true	false	yes	yes	904
spaunch	false	false	no	yes	4055
allied	true	false	yes	yes	855
slain	true	false	yes	yes	847
recipient	true	false	yes	yes	992
exprate	false	false	no	yes	6239
eloquence	true	false	yes	yes	3287
cleanliness	true	false	yes	yes	1119
dispatch	true	false	yes	yes	672
rebondicate	false	false	no	yes	5984
ingenious	true	false	yes	yes	1560
bewitch	true	false	yes	yes	1120
skave	false	false	yes	no	4824
plaintively	true	false	no	no	5751
kilp	false	false	yes	no	6233
interfate	false	false	yes	no	2767
hasty	true	false	yes	yes	1239
lengthy	true	false	yes	yes	4663
fray	true	false	yes	yes	1151
crumper	false	false	yes	no	5607
upkeep	true	false	yes	yes	1791
majestic	true	false	yes	yes	960
magrity	false	false	no	yes	5160
nourishment	true	false	yes	yes	1320
abergy	false	false	no	yes	3632
proom	false	false	no	yes	4832
turmoil	true	false	yes	yes	984
carbohydrate	true	false	yes	yes	1160
scholar	true	false	yes	yes	832
turtle	true	false	yes	yes	760
fellick	false	false	no	yes	5551
destription	false	false	no	yes	3448
cylinder	true	false	yes	yes	1047
censorship	true	false	yes	yes	1791
celestial	true	false	yes	yes	1223
rascal	true	false	yes	yes	1407
purrage	false	false	no	yes	4719
pulsh	false	false	yes	no	4159
muddy	true	false	yes	yes	831
quirty	false	false	no	yes	4872
pudour	false	false	no	yes	4448
listless	true	false	yes	yes	4464
wrought	true	false	no	no	7392
