word_shown	valid	dummy	response	correct	response_time
platery	false	true	yes	no	5183
denial	true	true	yes	yes	1295
generic	true	true	yes	yes	1112
mensible	false	false	yes	no	2584
scornful	true	false	yes	yes	856
stoutly	true	false	no	no	3631
ablaze	true	false	yes	yes	1935
kermshaw	false	false	no	yes	5375
moonlit	true	false	no	no	6375
lofty	true	false	yes	yes	1208
hurricane	true	false	yes	yes	944
flaw	true	false	yes	yes	728
alberation	false	false	yes	no	1168
unkempt	true	false	yes	yes	872
breeding	true	false	yes	yes	728
festivity	true	false	yes	yes	1016
screech	true	false	yes	yes	1712
savoury	true	false	yes	yes	2511
plaudate	false	false	no	yes	7031
shin	true	false	yes	yes	1351
fluid	true	false	yes	yes	688
spaunch	false	false	no	yes	4016
allied	true	false	yes	yes	1016
slain	true	false	yes	yes	744
recipient	true	false	yes	yes	1112
exprate	false	false	no	yes	2736
eloquence	true	false	yes	yes	1351
cleanliness	true	false	yes	yes	768
dispatch	true	false	yes	yes	1303
rebondicate	false	false	no	yes	6119
ingenious	true	false	yes	yes	991
bewitch	true	false	yes	yes	704
skave	false	false	no	yes	6632
plaintively	true	false	yes	yes	1640
kilp	false	false	no	yes	2040
interfate	false	false	no	yes	2255
hasty	true	false	yes	yes	1215
lengthy	true	false	yes	yes	1791
fray	true	false	no	no	3623
crumper	false	false	no	yes	8007
upkeep	true	false	no	no	3672
majestic	true	false	yes	yes	1192
magrity	false	false	no	yes	3567
nourishment	true	false	yes	yes	831
abergy	false	false	no	yes	3431
proom	false	false	no	yes	2111
turmoil	true	false	yes	yes	1016
carbohydrate	true	false	yes	yes	760
scholar	true	false	yes	yes	648
turtle	true	false	yes	yes	904
fellick	false	false	no	yes	2240
destription	false	false	no	yes	3080
cylinder	true	false	yes	yes	1088
censorship	true	false	yes	yes	832
celestial	true	false	yes	yes	888
rascal	true	false	yes	yes	984
purrage	false	false	no	yes	2688
pulsh	false	false	no	yes	2800
muddy	true	false	yes	yes	727
quirty	false	false	yes	no	5144
pudour	false	false	yes	no	1903
listless	true	false	yes	yes	624
wrought	true	false	yes	yes	1488
