word_shown	valid	dummy	response	correct	response_time
platery	false	true	yes	no	8392
denial	true	true	yes	yes	1031
generic	true	true	yes	yes	1576
mensible	false	false	no	yes	2648
scornful	true	false	yes	yes	1552
stoutly	true	false	yes	yes	3215
ablaze	true	false	yes	yes	1208
kermshaw	false	false	no	yes	3576
moonlit	true	false	yes	yes	2112
lofty	true	false	yes	yes	1624
hurricane	true	false	yes	yes	704
flaw	true	false	yes	yes	784
alberation	false	false	no	yes	3424
unkempt	true	false	yes	yes	1176
breeding	true	false	yes	yes	1007
festivity	true	false	yes	yes	744
screech	true	false	yes	yes	1767
savoury	true	false	yes	yes	855
plaudate	false	false	no	yes	5575
shin	true	false	yes	yes	839
fluid	true	false	yes	yes	863
spaunch	false	false	no	yes	1295
allied	true	false	yes	yes	863
slain	true	false	yes	yes	911
recipient	true	false	yes	yes	872
exprate	false	false	yes	no	6584
eloquence	true	false	yes	yes	2152
cleanliness	true	false	yes	yes	944
dispatch	true	false	yes	yes	864
rebondicate	false	false	no	yes	1440
ingenious	true	false	yes	yes	1584
bewitch	true	false	yes	yes	1720
skave	false	false	no	yes	968
plaintively	true	false	no	no	1304
kilp	false	false	yes	no	1040
interfate	false	false	yes	no	1312
hasty	true	false	yes	yes	1624
lengthy	true	false	yes	yes	752
fray	true	false	yes	yes	1192
crumper	false	false	no	yes	8527
upkeep	true	false	yes	yes	3847
majestic	true	false	yes	yes	751
magrity	false	false	no	yes	2919
nourishment	true	false	yes	yes	959
abergy	false	false	no	yes	1263
proom	false	false	no	yes	1272
turmoil	true	false	yes	yes	1128
carbohydrate	true	false	yes	yes	928
scholar	true	false	yes	yes	967
turtle	true	false	yes	yes	672
fellick	false	false	no	yes	1168
destription	false	false	yes	no	799
cylinder	true	false	yes	yes	768
censorship	true	false	yes	yes	872
celestial	true	false	yes	yes	2040
rascal	true	false	yes	yes	784
purrage	false	false	yes	no	2896
pulsh	false	false	yes	no	1688
muddy	true	false	yes	yes	720
quirty	false	false	no	yes	1888
pudour	false	false	no	yes	1496
listless	true	false	yes	yes	3888
wrought	true	false	no	no	1728
