word_shown	valid	dummy	response	correct	response_time
platery	false	true	yes	no	4479
denial	true	true	yes	yes	1471
generic	true	true	yes	yes	1400
mensible	false	false	no	yes	6976
scornful	true	false	yes	yes	1280
stoutly	true	false	yes	yes	1311
ablaze	true	false	yes	yes	1960
kermshaw	false	false	no	yes	5431
moonlit	true	false	yes	yes	1864
lofty	true	false	yes	yes	1007
hurricane	true	false	yes	yes	1511
flaw	true	false	yes	yes	1047
alberation	false	false	no	yes	3079
unkempt	true	false	yes	yes	3303
breeding	true	false	yes	yes	855
festivity	true	false	yes	yes	816
screech	true	false	yes	yes	888
savoury	true	false	yes	yes	976
plaudate	false	false	no	yes	4120
shin	true	false	yes	yes	887
fluid	true	false	yes	yes	744
spaunch	false	false	no	yes	4344
allied	true	false	yes	yes	784
slain	true	false	yes	yes	1792
recipient	true	false	yes	yes	1024
exprate	false	false	no	yes	2288
eloquence	true	false	yes	yes	896
cleanliness	true	false	yes	yes	752
dispatch	true	false	yes	yes	776
rebondicate	false	false	no	yes	10176
ingenious	true	false	yes	yes	671
bewitch	true	false	yes	yes	703
skave	false	false	no	yes	1551
plaintively	true	false	no	no	8863
kilp	false	false	yes	no	903
interfate	false	false	no	yes	7784
hasty	true	false	yes	yes	1104
lengthy	true	false	yes	yes	1224
fray	true	false	yes	yes	800
crumper	false	false	no	yes	3384
upkeep	true	false	yes	yes	6904
majestic	true	false	yes	yes	1704
magrity	false	false	no	yes	2176
nourishment	true	false	yes	yes	760
abergy	false	false	yes	no	6975
proom	false	false	no	yes	1623
turmoil	true	false	yes	yes	751
carbohydrate	true	false	yes	yes	967
scholar	true	false	yes	yes	791
turtle	true	false	yes	yes	791
fellick	false	false	no	yes	4288
destription	false	false	no	yes	2735
cylinder	true	false	yes	yes	776
censorship	true	false	yes	yes	1456
celestial	true	false	yes	yes	640
rascal	true	false	yes	yes	744
purrage	false	false	no	yes	5360
pulsh	false	false	no	yes	5120
muddy	true	false	yes	yes	664
quirty	false	false	no	yes	1744
pudour	false	false	no	yes	4952
listless	true	false	yes	yes	4335
wrought	true	false	yes	yes	999
