word_shown	valid	dummy	response	correct	response_time
platery	false	true	yes	no	5504
denial	true	true	yes	yes	1055
generic	true	true	yes	yes	1416
mensible	false	false	yes	no	14856
scornful	true	false	yes	yes	936
stoutly	true	false	no	no	9463
ablaze	true	false	yes	yes	1832
kermshaw	false	false	no	yes	6207
moonlit	true	false	yes	yes	1055
lofty	true	false	yes	yes	2431
hurricane	true	false	yes	yes	1311
flaw	true	false	yes	yes	1104
alberation	false	false	yes	no	4776
unkempt	true	false	yes	yes	2216
breeding	true	false	yes	yes	1064
festivity	true	false	yes	yes	2016
screech	true	false	yes	yes	1232
savoury	true	false	yes	yes	1480
plaudate	false	false	no	yes	9248
shin	true	false	yes	yes	1176
fluid	true	false	yes	yes	1120
spaunch	false	false	no	yes	4831
allied	true	false	yes	yes	1151
slain	true	false	yes	yes	1872
recipient	true	false	yes	yes	1527
exprate	false	false	yes	no	4535
eloquence	true	false	yes	yes	1439
cleanliness	true	false	yes	yes	1719
dispatch	true	false	yes	yes	808
rebondicate	false	false	yes	no	3016
ingenious	true	false	yes	yes	3336
bewitch	true	false	yes	yes	1904
skave	false	false	yes	no	4344
plaintively	true	false	yes	yes	7104
kilp	false	false	no	yes	2104
interfate	false	false	yes	no	3696
hasty	true	false	yes	yes	1448
lengthy	true	false	yes	yes	1328
fray	true	false	yes	yes	1336
crumper	false	false	no	yes	2199
upkeep	true	false	yes	yes	1680
majestic	true	false	yes	yes	1432
magrity	false	false	no	yes	4007
nourishment	true	false	yes	yes	1735
abergy	false	false	yes	no	2279
proom	false	false	no	yes	4111
turmoil	true	false	yes	yes	1584
carbohydrate	true	false	yes	yes	1096
scholar	true	false	yes	yes	1040
turtle	true	false	yes	yes	808
fellick	false	false	yes	no	3200
destription	false	false	no	yes	4624
cylinder	true	false	yes	yes	2304
censorship	true	false	yes	yes	944
celestial	true	false	yes	yes	888
rascal	true	false	yes	yes	904
purrage	false	false	no	yes	5168
pulsh	false	false	yes	no	1064
muddy	true	false	yes	yes	816
quirty	false	false	no	yes	3415
pudour	false	false	yes	no	5143
listless	true	false	yes	yes	1335
wrought	true	false	yes	yes	1711
