word_shown	valid	dummy	response	correct	response_time
platery	false	true	no	yes	2703
denial	true	true	yes	yes	1334
generic	true	true	yes	yes	1304
mensible	false	false	no	yes	2120
scornful	true	false	yes	yes	1175
stoutly	true	false	yes	yes	1247
ablaze	true	false	yes	yes	1415
kermshaw	false	false	no	yes	1583
moonlit	true	false	yes	yes	1272
lofty	true	false	yes	yes	1296
hurricane	true	false	yes	yes	1320
flaw	true	false	yes	yes	1216
alberation	false	false	no	yes	3792
unkempt	true	false	yes	yes	1784
breeding	true	false	yes	yes	1040
festivity	true	false	yes	yes	1359
screech	true	false	yes	yes	1647
savoury	true	false	yes	yes	1671
plaudate	false	false	no	yes	1783
shin	true	false	yes	yes	1023
fluid	true	false	yes	yes	968
spaunch	false	false	no	yes	1288
allied	true	false	yes	yes	1112
slain	true	false	yes	yes	1456
recipient	true	false	yes	yes	1536
exprate	false	false	no	yes	2024
eloquence	true	false	yes	yes	1136
cleanliness	true	false	yes	yes	4223
dispatch	true	false	yes	yes	1055
rebondicate	false	false	no	yes	2039
ingenious	true	false	yes	yes	1328
bewitch	true	false	yes	yes	1136
skave	false	false	no	yes	1280
plaintively	true	false	no	no	3592
kilp	false	false	no	yes	1200
interfate	false	false	no	yes	1872
hasty	true	false	yes	yes	904
lengthy	true	false	yes	yes	968
fray	true	false	yes	yes	1319
crumper	false	false	no	yes	2679
upkeep	true	false	yes	yes	968
majestic	true	false	yes	yes	1016
magrity	false	false	no	yes	1424
nourishment	true	false	yes	yes	1008
abergy	false	false	no	yes	1320
proom	false	false	no	yes	3640
turmoil	true	false	yes	yes	1016
carbohydrate	true	false	yes	yes	1552
scholar	true	false	yes	yes	1376
turtle	true	false	yes	yes	1184
fellick	false	false	no	yes	1583
destription	false	false	no	yes	2911
cylinder	true	false	yes	yes	1007
censorship	true	false	yes	yes	983
celestial	true	false	yes	yes	1680
rascal	true	false	yes	yes	928
purrage	false	false	no	yes	1472
pulsh	false	false	no	yes	1552
muddy	true	false	yes	yes	960
quirty	false	false	no	yes	1904
pudour	false	false	no	yes	6183
listless	true	false	no	no	1783
wrought	true	false	yes	yes	696
