word_shown	valid	dummy	response	correct	response_time
platery	false	true	yes	no	6792
denial	true	true	yes	yes	1679
generic	true	true	yes	yes	3727
mensible	false	false	yes	no	2855
scornful	true	false	yes	yes	2152
stoutly	true	false	yes	yes	4895
ablaze	true	false	yes	yes	1920
kermshaw	false	false	no	yes	2328
moonlit	true	false	yes	yes	2240
lofty	true	false	yes	yes	1728
hurricane	true	false	yes	yes	1815
flaw	true	false	yes	yes	1367
alberation	false	false	yes	no	2543
unkempt	true	false	no	no	3047
breeding	true	false	yes	yes	1512
festivity	true	false	yes	yes	1776
screech	true	false	yes	yes	2096
savoury	true	false	yes	yes	2400
plaudate	false	false	no	yes	3344
shin	true	false	yes	yes	1496
fluid	true	false	yes	yes	1607
spaunch	false	false	yes	no	2407
allied	true	false	yes	yes	1719
slain	true	false	yes	yes	4767
recipient	true	false	yes	yes	1632
exprate	false	false	no	yes	4224
eloquence	true	false	yes	yes	2024
cleanliness	true	false	yes	yes	5568
dispatch	true	false	yes	yes	1359
rebondicate	false	false	yes	no	6135
ingenious	true	false	yes	yes	1903
bewitch	true	false	yes	yes	1864
skave	false	false	no	yes	1768
plaintively	true	false	no	no	9527
kilp	false	false	no	yes	1111
interfate	false	false	yes	no	2431
hasty	true	false	yes	yes	2359
lengthy	true	false	yes	yes	1200
fray	true	false	yes	yes	2072
crumper	false	false	yes	no	2496
upkeep	true	false	no	no	1808
majestic	true	false	yes	yes	1216
magrity	false	false	yes	no	2912
nourishment	true	false	yes	yes	1072
abergy	false	false	yes	no	5231
proom	false	false	yes	no	4263
turmoil	true	false	yes	yes	1535
carbohydrate	true	false	yes	yes	3423
scholar	true	false	yes	yes	1408
turtle	true	false	yes	yes	1320
fellick	false	false	no	yes	2400
destription	false	false	yes	no	2504
cylinder	true	false	yes	yes	992
censorship	true	false	yes	yes	1096
celestial	true	false	yes	yes	1976
rascal	true	false	yes	yes	1823
purrage	false	false	yes	no	2679
pulsh	false	false	yes	no	2855
muddy	true	false	yes	yes	1143
quirty	false	false	yes	no	1952
pudour	false	false	no	yes	4008
listless	true	false	no	no	6984
wrought	true	false	yes	yes	1784
